Dataset,Download,Frequency,URL,Dataset_ID,Fields,Summaries,Mask
Bathymetry_CRM_vol10_3s,YES,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,usgsCeCrm10_Lon0360,topo,NA,FALSE
Bathymetry_ETOPO_2022_v1_15s,YES,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,ETOPO_2022_v1_15s,z,NA,FALSE
Bathymetry_ETOPO1_1min,YES,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,etopo360,altitude,NA,FALSE
Bathymetry_HMRG_MHI_50m,YES,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,hmrg_bathy_50m_mhi,z,NA,FALSE
Bathymetry_HURL_NWHI_60m,YES,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,hurl_bathy_60m_nwhi,elev,NA,FALSE
Bathymetry_NGDC_AmericanSamoa_90m,YES,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,ngdc_bathy_90m_amsamoa,elev,NA,FALSE
Bathymetry_NGDC_Guam_10m,YES,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,ngdc_bathy_10m_guam,elev,NA,FALSE
Bathymetry_PIBHMC_Tutuila_5m,YES,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,pibhmc_bathy_5m_tutuila,elev,NA,FALSE
Bathymetry_SRTMPlus_v1_15s,YES,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,srtm15plus,z,NA,FALSE
Bleaching_Alert_Area_7daymax_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_BAA_7D_MAX,mean;q05;q95;sd,FALSE
Bleaching_Alert_Area_7daymax_Mask_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_BAA_7D_MAX_mask,mean;q05;q95;sd,FALSE
Bleaching_Alert_Area_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_BAA,mean;q05;q95;sd,FALSE
Bleaching_Alert_Area_Mask_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_BAA_mask,mean;q05;q95;sd,FALSE
Bleaching_Hotspot_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_HOTSPOT,mean;q05;q95;sd,FALSE
Bleaching_Hotspot_Mask_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_HOTSPOT_mask,mean;q05;q95;sd,FALSE
Chlorophyll_A_ESA_OC_CCI_v6.0_8Day,YES,8day,https://coastwatch.pfeg.noaa.gov/erddap/,pmlEsaCCI60OceanColor8Day,chlor_a,mean;q05;q95;sd,TRUE
Chlorophyll_A_ESA_OC_CCI_v6.0_Clim,YES,Climatology,https://oceanwatch.pifsc.noaa.gov/erddap/,esa-cci-chla-2022-clim_v6-0,chlor_a,NA,TRUE
Chlorophyll_A_ESA_OC_CCI_v6.0_Monthly,YES,Monthly,https://coastwatch.pfeg.noaa.gov/erddap/,pmlEsaCCI60OceanColorMonthly,chlor_a,mean;q05;q95;sd,TRUE
Chlorophyll_A_NPP_VIIRS_Monthly,YES,Monthly,https://oceanwatch.pifsc.noaa.gov/erddap/,noaa_snpp_chla_monthly_750m_v2023,chlor_a,mean;q05;q95;sd,TRUE
Chlorophyll_A_NPP_VIIRS_Weekly,YES,Weekly,https://oceanwatch.pifsc.noaa.gov/erddap/,noaa_snpp_chla_weekly_750m_v2023,chlor_a,mean;q05;q95;sd,TRUE
Degree_Heating_Weeks_CRW_Daily,YES,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_dhw_v1_0,degree_heating_week,DHW.Np10y;DHW.Np10y_Major;DHW.MeanMax;DHW.MeanMax_Major;DHW.CI95Max;DHW.CI95Max_Major;DHW.MeanDur;DHW.MeanDur_Major;DHW.MaxMax;DHW.MaxMax_Major;DHW.YearsToLast;DHW.YearsToLast_Major,FALSE
Downward_Heat_Flux_GODAS_Monthly,YES,Monthly,https://apdrc.soest.hawaii.edu/erddap/,hawaii_soest_c3cb_fec8_afa5,thflxsfc,mean;q05;q95;sd,FALSE
Isothermal_Layer_Depth_GODAS_Monthly,YES,Monthly,https://apdrc.soest.hawaii.edu/erddap/,hawaii_soest_93a6_4907_ab65,dbssbitl,mean;q05;q95;sd,FALSE
Kd490_NOAA_VIIRS_Monthly,YES,Monthly,https://coastwatch.pfeg.noaa.gov/erddap/,nesdisVHNSQkd490Monthly,kd_490,mean;q05;q95;sd,TRUE
Kd490_NOAA_VIIRS_Weekly,YES,Weekly,https://coastwatch.pfeg.noaa.gov/erddap/,nesdisVHNSQkd490Weekly,kd_490,mean;q05;q95;sd,TRUE
KdPAR_NOAA_VIIRS_Monthly,YES,Monthly,https://coastwatch.pfeg.noaa.gov/erddap/,nesdisVHNSQkdparMonthly,kd_par,mean;q05;q95;sd,TRUE
KdPAR_NOAA_VIIRS_Weekly,YES,Weekly,https://coastwatch.pfeg.noaa.gov/erddap/,nesdisVHNSQkdparWeekly,kd_par,mean;q05;q95;sd,TRUE
Marine_Heatwave_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,mhw_5km,heatwave_category,mean;q05;q95;sd,FALSE
Median_Phytoplankton_Size_NOAA_PIFSC_Monthly,YES,Monthly,https://oceanwatch.pifsc.noaa.gov/erddap/,md50_exp,MD50,mean;q05;q95;sd,FALSE
Mixed_Layer_Depth_GODAS_Monthly,YES,Monthly,https://apdrc.soest.hawaii.edu/erddap/,hawaii_soest_13c5_96ef_e443,dbssbmxl,mean;q05;q95;sd,FALSE
PAR_Aqua_MODIS_8Day,YES,8day,https://coastwatch.pfeg.noaa.gov/erddap/,erdMH1par08day,par,mean;q05;q95;sd,TRUE
PAR_Aqua_MODIS_Monthly,YES,Monthly,https://coastwatch.pfeg.noaa.gov/erddap/,erdMH1par0mday,par,mean;q05;q95;sd,TRUE
PAR_NASA_VIIRS_8Day,YES,8day,https://coastwatch.pfeg.noaa.gov/erddap/,erdVH2018par8day,par,mean;q05;q95;sd,TRUE
PAR_NASA_VIIRS_Monthly,YES,Monthly,https://coastwatch.pfeg.noaa.gov/erddap/,erdVH2018parmday,par,mean;q05;q95;sd,TRUE
Precipitation_CHIRPS_Daily,YES,Daily,https://coastwatch.pfeg.noaa.gov/erddap/,chirps20GlobalDailyP05,precip,mean;q05;q95;sd,FALSE
Precipitation_TRMM_Daily,YES,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,hawaii_soest_5687_3d16_a6d4,precipitation,mean;q05;q95;sd,FALSE
Sea_Surface_Height_GODAS_Monthly,YES,Monthly,https://apdrc.soest.hawaii.edu/erddap/,hawaii_soest_2ee3_0bfa_a8d6,sshgsfc,mean;q05;q95;sd,FALSE
Sea_Surface_Salinity_MirasSMOS_3Day,YES,3day,https://oceanwatch.pifsc.noaa.gov/erddap/,noaacwSMOSsss3day,sss,mean;q05;q95;sd,FALSE
Sea_Surface_Temperature_AVHRR_Daily,YES,Daily,https://coastwatch.pfeg.noaa.gov/erddap/,ncdcOisst21Agg,sst,mean;q05;q95;sd,FALSE
Sea_Surface_Temperature_CRW_1985-2022_Clim,YES,Climatology,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_sst_v3_1_2022-clim,sea_surface_temperature,NA,FALSE
Sea_Surface_Temperature_CRW_Daily,YES,Daily,https://coastwatch.pfeg.noaa.gov/erddap/,NOAA_DHW,CRW_SST,mean;q05;q95;sd,FALSE
Sea_Surface_Temperature_jplMUR_Daily,YES,Daily,https://coastwatch.pfeg.noaa.gov/erddap/,jplMURSST41,analysed_sst,mean;q05;q95;sd,FALSE
Sea_Surface_Temperature_OISST_Monthly,YES,Monthly,https://upwell.pfeg.noaa.gov/erddap/,noaa_psl_4af9_4ab0_ab10,sst,mean;q05;q95;sd,FALSE
Sea_Water_Practical_Salinity_GODAS_Monthly,YES,Monthly,https://apdrc.soest.hawaii.edu/erddap/,hawaii_soest_3ff6_7059_f5e9,saltydsl,mean;q05;q95;sd,FALSE
Wave_Height_SWAN_Oahu_Hourly,YES,1hour,https://pae-paha.pacioos.hawaii.edu/erddap/,swan_oahu,shgt,mean;q05;q95;sd,FALSE
Wave_Height_WW3_Global_Hourly,YES,1hour,https://pae-paha.pacioos.hawaii.edu/erddap/,ww3_global,Thgt,mean;q05;q95;sd,FALSE
Wave_Height_WW3_Hawaii_Hourly,YES,1hour,https://pae-paha.pacioos.hawaii.edu/erddap/,ww3_hawaii,Thgt,mean;q05;q95;sd,FALSE
Wave_Height_WW3_Monthly,NO,Monthly,https://chapman.ceoas.oregonstate.edu/erddap/,Wavewatch3_SigWavHgt_Monthly,monthly_mean_whgt,mean;q05;q95;sd,FALSE
Wave_Period_WW3_Global_Hourly,YES,1hour,https://pae-paha.pacioos.hawaii.edu/erddap/,ww3_global,Tper,mean;q05;q95;sd,FALSE
Wave_Period_WW3_Hawaii_Hourly,YES,1hour,https://pae-paha.pacioos.hawaii.edu/erddap/,ww3_hawaii,Tper,mean;q05;q95;sd,FALSE
Wind_Speed_ASCAT_Daily,YES,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,ascat_daily_apdrc,wsp,mean;q05;q95;sd,FALSE
Wind_Speed_AVHRR_Daily,YES,Daily,https://coastwatch.pfeg.noaa.gov/erddap/,nceiPH53sstd1day,wind_speed,mean;q05;q95;sd,FALSE
Wind_Speed_Eastward_ASCAT_Daily,YES,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,ascat_daily_apdrc,uwnd,mean;q05;q95;sd,FALSE
Wind_Speed_Eastward_NCEI_Daily,YES,Daily,https://coastwatch.noaa.gov/erddap/,noaacwBlendedWindsDaily,u_wind,mean;q05;q95;sd,FALSE
Wind_Speed_NCEI_Daily,YES,Daily,https://coastwatch.noaa.gov/erddap/,noaacwBlendedWindsDaily,windspeed,mean;q05;q95;sd,FALSE
Wind_Speed_Northward_ASCAT_Daily,YES,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,ascat_daily_apdrc,vwnd,mean;q05;q95;sd,FALSE
Wind_Speed_Northward_NCEI_Daily,YES,Daily,https://coastwatch.noaa.gov/erddap/,noaacwBlendedWindsDaily,v_wind,mean;q05;q95;sd,FALSE